customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,SeniorCitizenLabel,AvgMonthlySpend,ProjectedCLV,TenureGroup,R_Score,F_Score,M_Score,RFM_Score,Segment,ChurnProbability,RevenueAtRisk
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,No,100.71805555555557,2397.6000000000004,49+ mo,4,4,4,12,Champions,0.0070433365,8.443551817908883
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,No,63.38,1672.8000000000002,0-6 mo,1,2,1,4,Price-Sensitive / New,0.57628095,482.00138783454895
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,No,77.13695652173914,1795.1999999999998,25-48 mo,3,3,3,9,Loyal High-Value,0.2354707,211.35849788188932
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,No,104.38970588235294,2552.4,25-48 mo,3,4,3,10,Champions,0.49528158,632.0783487081527
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,No,100.4909090909091,2348.4,7-12 mo,2,4,2,8,Loyal High-Value,0.9035796,1060.9831577539444
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,No,47.57,1189.1999999999998,7-12 mo,2,2,2,6,At Risk,0.090677746,53.91698755770921
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,No,69.605,1660.8000000000002,49+ mo,4,2,4,10,Champions,0.030446514,25.282785630226137
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,No,24.602941176470587,498.0,13-24 mo,2,1,2,5,Price-Sensitive / New,0.020590821,5.127114498987794
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,No,77.16587301587302,1916.4,49+ mo,4,3,4,11,Champions,0.021830948,20.918414440378545
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,No,75.49615384615385,1828.8,13-24 mo,2,3,2,7,At Risk,0.25083,229.35894713401797
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,No,79.72857142857143,2028.0,49+ mo,3,3,4,10,Champions,0.42247662,428.39129215478897
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,No,48.5,1182.0,0-6 mo,1,2,1,4,Price-Sensitive / New,0.39367035,232.6591770350933
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,No,72.075,1935.6,0-6 mo,1,3,1,5,Price-Sensitive / New,0.700163,677.6177579641343
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,No,81.11153846153846,1914.0,49+ mo,3,3,4,10,Champions,0.03259905,31.197291377931833
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,No,61.6536231884058,1539.6,49+ mo,4,2,4,10,Champions,0.010768814,8.289833026751877
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,Yes,89.27325581395348,2166.0,25-48 mo,3,4,4,11,Champions,0.45332325,490.94907438755035
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,No,95.09333333333332,2378.4,13-24 mo,2,4,3,9,Loyal High-Value,0.60419846,718.5128036499023
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,Yes,70.10600000000001,1668.0,25-48 mo,2,2,3,7,At Risk,0.101733044,84.84535852074623
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,Yes,79.1625,1935.6,7-12 mo,1,3,2,6,At Risk,0.69588757,673.4799860000611
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,Yes,74.27250000000001,1796.4,49+ mo,4,3,4,11,Champions,0.05077221,45.60359787270426
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,Yes,97.36388888888888,2290.8,13-24 mo,2,4,3,9,Loyal High-Value,0.7042594,806.658711719513
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,No,100.17777777777778,2391.6000000000004,49+ mo,4,4,4,12,Champions,0.10953615,130.98332650512458
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,Yes,107.21742424242424,2602.8,49+ mo,4,4,4,12,Champions,0.24591465,320.03332934081556
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,No,26.302941176470583,598.8,25-48 mo,3,1,2,6,At Risk,0.012465493,3.7321685509756204
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,No,109.07916666666668,2580.0,49+ mo,4,4,4,12,Champions,0.05679206,73.26175969094038
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,No,100.15106382978723,2412.0,25-48 mo,3,4,4,11,Champions,0.5131831,618.8988389968872
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,No,90.845,2157.6000000000004,49+ mo,4,4,4,12,Champions,0.17395376,187.66131271719934
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,No,41.138888888888886,1010.4,49+ mo,4,2,3,9,Loyal High-Value,0.0126832975,6.407601900771261
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,No,53.172222222222224,1305.6,13-24 mo,2,2,2,6,At Risk,0.086066075,56.18393354415893
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,No,95.25,2265.6000000000004,7-12 mo,1,4,2,7,At Risk,0.7444532,843.3165756225585
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,No,81.36666666666666,1807.2,0-6 mo,1,3,1,5,Price-Sensitive / New,0.32586575,294.4522876739502
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,No,77.66702127659575,1893.6,25-48 mo,3,3,3,9,Loyal High-Value,0.16795093,159.0159388303757
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,No,80.55483870967741,1900.8,25-48 mo,3,3,3,9,Loyal High-Value,0.031803206,30.225766611099246
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,No,18.618,483.6,49+ mo,3,1,2,6,At Risk,0.007944219,1.9209121093153954
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,No,88.735,1916.4,7-12 mo,2,3,2,7,At Risk,0.42787442,409.9892655193805
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,No,49.05,1177.1999999999998,0-6 mo,1,2,1,4,Price-Sensitive / New,0.27715427,163.13300145864486
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,No,20.974038461538463,489.6,49+ mo,3,1,2,6,At Risk,0.020793017,5.090130561590194
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,Yes,110.921875,2678.4,49+ mo,4,4,4,12,Champions,0.08783633,117.63041664361953
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,No,22.97741935483871,582.0,49+ mo,4,1,3,8,Loyal High-Value,0.007591386,2.2090932852588594
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,No,59.13333333333333,1548.0,0-6 mo,1,2,1,4,Price-Sensitive / New,0.20964731,162.2670200765133
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,Yes,109.63392857142856,2652.0,49+ mo,4,4,4,12,Champions,0.13608584,180.44982129335403
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,No,58.45326086956521,1335.6,25-48 mo,3,2,3,8,Loyal High-Value,0.118689,79.26051460504532
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,No,60.28125,1311.6,7-12 mo,1,2,2,5,Price-Sensitive / New,0.15036152,98.60708680450915
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,Yes,70.37666666666668,1794.0,25-48 mo,3,3,3,9,Loyal High-Value,0.16488007,147.8974201977253
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,No,27.03555555555556,621.5999999999999,25-48 mo,3,1,2,6,At Risk,0.028462438,8.846125703305006
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,No,79.35,1904.4,0-6 mo,1,3,1,5,Price-Sensitive / New,0.88023406,838.1588744759558
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,No,51.39545454545455,1213.1999999999998,7-12 mo,2,2,2,6,At Risk,0.28614712,173.57684154510497
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,No,70.98571428571428,1803.6,7-12 mo,1,3,2,6,At Risk,0.5488705,494.9714204192162
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,No,103.03571428571428,2491.2,25-48 mo,3,4,4,11,Champions,0.34671152,431.8638648033142
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,No,19.86428571428572,483.6,49+ mo,3,1,2,6,At Risk,0.008518288,2.059722017124295
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,No,102.08333333333331,2383.2,7-12 mo,1,4,2,7,At Risk,0.8826338,1051.7464423656463
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,No,63.29857142857142,1491.6,25-48 mo,3,2,3,8,Loyal High-Value,0.038828686,28.95843392908573
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,No,22.02083333333333,495.6,25-48 mo,3,1,2,6,At Risk,0.012504475,3.098608952388167
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,No,20.15434782608696,478.8,25-48 mo,3,1,2,6,At Risk,0.0076604355,1.833908261731267
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,No,34.80172413793103,810.0,25-48 mo,2,1,2,5,Price-Sensitive / New,0.23318052,94.43811178207397
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,No,85.67333333333333,1969.2,25-48 mo,3,3,3,9,Loyal High-Value,0.22739054,223.88872826993463
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,Yes,74.7,1792.8000000000002,0-6 mo,1,3,1,5,Price-Sensitive / New,0.52965504,474.7827772378921
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0,No,86.57954545454545,2016.0,49+ mo,4,3,4,11,Champions,0.028135255,28.360337018966675
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,No,109.33846153846154,2665.2,49+ mo,4,4,4,12,Champions,0.14581017,194.30663515627384
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,No,103.59791666666666,2421.6000000000004,49+ mo,4,4,4,12,Champions,0.059980687,72.624615521729
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,No,77.27916666666667,1894.8,7-12 mo,2,3,2,7,At Risk,0.5277659,500.0054417967797
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,No,66.8830985915493,1604.4,49+ mo,4,2,4,10,Champions,0.016498657,13.235222600027917
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,No,22.77,505.2000000000001,0-6 mo,1,1,1,3,Low-Value / Disengaged,0.1140387,28.806175209581852
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,No,21.29230769230769,504.0,49+ mo,3,1,2,6,At Risk,0.02154062,5.428236097097397
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,Yes,100.58,2364.0,25-48 mo,2,4,3,9,Loyal High-Value,0.6849033,809.5557285547256
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,0,No,20.2,484.8,0-6 mo,1,1,1,3,Low-Value / Disengaged,0.36513466,88.50864071846007
